timestamps,ax,ay,az,mag
578158,1.16,0.24,-0.15,11.96
578180,1.13,0.28,-0.16,11.76
578202,1.10,0.20,-0.18,11.32
578224,0.94,0.19,-0.42,10.45
578246,0.88,-0.07,-0.22,9.11
578268,0.77,-0.30,0.42,9.26
578290,0.83,-0.58,0.70,12.31
578312,0.85,-0.66,0.31,11.19
578334,0.60,-0.15,0.44,7.62
578356,0.74,0.14,0.49,9.01
578378,0.84,0.54,0.28,10.31
578400,0.77,0.84,0.10,11.44
578422,1.09,0.33,0.10,11.43
578444,1.17,0.10,0.28,12.09
578466,0.95,0.02,0.11,9.57
578488,0.84,-0.02,-0.01,8.44
578510,0.93,-0.10,0.01,9.36
578532,0.96,-0.18,0.17,9.89
578554,0.95,-0.21,0.28,10.16
578576,0.89,-0.25,0.31,9.80
578598,0.71,-0.24,0.27,7.97
578620,0.84,-0.15,0.35,9.20
578642,0.59,-0.00,0.35,6.83
578664,0.53,0.13,0.23,5.93
578686,0.60,0.24,0.33,7.23
578708,0.49,-0.01,0.47,6.80
578730,0.57,-0.16,0.75,9.56
578752,0.67,-0.40,1.07,13.24
578774,1.03,-0.51,0.74,13.70
578796,1.61,0.12,0.36,16.49
578818,1.87,1.11,-0.39,22.14
578840,0.72,1.17,-0.50,14.63
578862,0.30,0.74,-0.24,8.30
578884,1.02,0.23,-0.05,10.43
578906,0.98,-0.13,-0.12,10.01
578928,0.74,-0.22,-0.38,8.62
578950,0.76,-0.04,-0.52,9.23
578972,0.89,0.08,-0.41,9.81
578994,0.88,0.07,-0.25,9.16
579016,0.94,0.20,-0.16,9.79
579038,0.88,0.18,-0.17,9.10
579060,0.90,0.03,-0.10,9.09
579082,0.97,0.05,0.04,9.76
579104,0.94,0.12,0.02,9.53
579126,0.90,0.08,-0.04,9.03
579148,0.91,0.01,-0.13,9.24
579170,0.88,0.02,-0.19,9.06
579192,0.89,0.00,-0.21,9.12
579214,0.86,-0.03,-0.24,8.98
579236,0.88,0.01,-0.19,9.01
579258,0.85,0.05,-0.10,8.56
579280,0.81,0.10,-0.03,8.14
579302,0.88,0.12,0.01,8.91
