timestamps,ax,ay,az,mag
712688,0.83,0.17,-0.05,8.49
712710,0.85,0.07,-0.09,8.62
712732,1.01,-0.25,-0.11,10.44
712754,1.11,-0.27,-0.40,12.09
712776,0.82,-0.04,-0.05,8.21
712798,0.96,-0.18,-0.04,9.76
712820,0.93,-0.02,0.01,9.35
712842,0.87,-0.15,0.01,8.80
712864,0.88,-0.10,-0.01,8.87
712886,0.92,-0.00,-0.00,9.22
712908,0.94,-0.01,-0.02,9.41
712930,0.90,-0.11,-0.05,9.09
712952,0.90,-0.10,-0.01,9.01
712974,0.91,-0.10,0.02,9.11
712996,0.85,-0.08,0.03,8.56
713018,0.87,-0.02,0.01,8.75
713040,0.91,-0.02,0.00,9.11
713062,0.88,-0.08,-0.03,8.86
713084,0.87,-0.08,-0.08,8.78
713106,0.91,-0.05,-0.09,9.16
713128,0.88,-0.07,-0.14,8.96
713150,0.89,-0.07,-0.14,8.99
713172,0.88,-0.05,-0.12,8.94
713194,0.89,-0.05,-0.09,8.98
713216,0.89,-0.07,-0.06,8.99
713238,0.89,-0.05,-0.05,8.96
713260,0.88,-0.07,-0.03,8.85
713282,0.89,-0.08,-0.06,8.95
713304,0.89,-0.06,-0.05,8.93
713326,0.89,-0.04,-0.03,8.97
713348,0.89,-0.05,-0.05,8.93
