timestamps,ax,ay,az,y
2139009,-1.01,-0.25,-0.20,10.63
2139031,-1.03,-0.28,-0.24,10.91
2139053,-1.08,-0.29,-0.28,11.58
2139075,-1.05,-0.20,-0.28,11.05
2139097,-1.09,-0.17,-0.27,11.38
2139119,-1.09,-0.22,-0.33,11.58
2139141,-1.10,-0.23,-0.35,11.75
2139163,-1.14,-0.19,-0.38,12.18
2139185,-1.11,-0.19,-0.37,11.88
2139207,-1.08,-0.22,-0.32,11.49
2139229,-1.06,-0.25,-0.29,11.31
2139251,-1.21,-0.38,-0.29,13.03
2139273,-1.32,-0.17,-0.29,13.62
2139295,-1.17,-0.17,-0.33,12.25
2139317,-1.34,-0.22,-0.24,13.84
2139339,-1.34,-0.05,-0.15,13.54
2139361,-1.31,-0.01,0.14,13.16
2139383,-1.04,-0.16,0.11,10.53
2139405,-0.97,-0.11,-0.32,10.26
2139427,-1.03,-0.29,-0.75,13.06
2139449,-1.41,-0.10,-0.36,14.61
2139471,-1.24,0.32,-0.23,13.05
2139493,-1.12,-0.04,-0.13,11.29
2139515,-1.04,-0.18,-0.19,10.71
2139537,-1.13,-0.30,-0.23,11.90
2139559,-1.12,-0.34,-0.35,12.23
2139581,-1.08,-0.29,-0.39,11.83
2139603,-1.11,-0.30,-0.55,12.75
2139625,-1.17,-0.38,-0.59,13.63
2139647,-1.16,-0.38,-0.65,13.80
2139669,-1.16,-0.21,-0.63,13.40
2139691,-1.23,-0.15,-0.66,14.03
2139713,-1.24,-0.25,-0.61,14.06
2139735,-1.24,-0.30,-0.54,13.84
2139757,-1.24,-0.21,-0.49,13.50
2139779,-1.21,-0.14,-0.46,13.01
2139801,-1.16,-0.08,-0.40,12.33
2139823,-1.08,-0.15,-0.36,11.48
2139845,-1.09,-0.18,-0.29,11.40
2139867,-1.00,-0.14,-0.26,10.47
2139889,-0.93,-0.05,-0.24,9.60
2139911,-0.96,-0.08,-0.22,9.92
2139933,-0.91,-0.11,-0.20,9.34
2139955,-0.88,-0.12,-0.20,9.15
2139977,-0.90,-0.09,-0.15,9.15
2139999,-0.86,-0.07,-0.17,8.80
2140021,-0.88,-0.10,-0.12,8.95
2140043,-0.89,-0.15,-0.15,9.21
2140065,-0.91,-0.05,-0.17,9.25
2140087,-0.91,-0.10,-0.12,9.21
2140109,-0.95,-0.15,-0.03,9.59
2140131,-1.46,-0.07,1.17,18.73
2140153,-1.61,-0.03,0.56,17.05
2140175,-0.87,0.23,0.03,8.99
2140197,-1.12,0.27,-0.17,11.64
2140219,-1.41,-0.54,-0.17,15.22
2140241,-0.90,-0.66,-0.38,11.80
2140263,-1.04,0.21,-0.72,12.86
2140285,-1.48,0.08,-0.21,14.97
2140307,-1.02,-0.22,-0.20,10.65
2140329,-1.19,0.02,-0.22,12.15
2140351,-1.11,-0.07,-0.21,11.31
2140373,-1.04,-0.40,-0.23,11.36
2140395,-1.10,-0.28,-0.13,11.41
2140417,-1.04,-0.16,-0.07,10.55
2140439,-1.12,-0.06,-0.21,11.43
2140461,-1.11,-0.17,-0.19,11.39
2140483,-1.07,-0.29,-0.12,11.20
2140505,-1.05,-0.24,-0.13,10.84
2140527,-1.07,-0.30,-0.09,11.18
2140549,-1.01,-0.14,-0.07,10.24
2140571,-1.08,-0.17,-0.20,11.09
2140593,-1.09,-0.20,-0.28,11.46
2140615,-1.08,-0.08,-0.27,11.22
2140637,-1.14,-0.12,-0.13,11.51
2140659,-0.95,-0.66,-0.06,11.55
2140681,-1.03,-0.22,-0.04,10.56
2140703,-1.10,-0.06,-0.12,11.12
2140725,-1.07,-0.05,-0.17,10.88
2140747,-1.04,-0.35,-0.04,11.00
2140769,-0.96,-0.41,-0.19,10.61
2140791,-1.08,-0.16,-0.24,11.13
2140813,-1.07,-0.27,-0.20,11.19
2140835,-1.06,-0.24,-0.22,11.12
2140857,-1.07,-0.23,-0.29,11.33
2140879,-1.09,-0.25,-0.25,11.40
2140901,-1.10,-0.19,-0.26,11.44
2140923,-1.09,-0.18,-0.27,11.38
2140945,-1.06,-0.23,-0.22,11.03
2140967,-1.10,-0.23,-0.24,11.55
2140989,-1.17,-0.19,-0.35,12.41
2141011,-1.17,-0.19,-0.37,12.46
2141033,-1.24,-0.42,-0.30,13.45
2141055,-1.35,-0.23,-0.33,14.09
2141077,-1.18,-0.12,-0.32,12.26
2141099,-1.27,-0.17,-0.28,13.16
2141121,-1.30,-0.00,-0.18,13.16
2141143,-1.23,0.19,0.10,12.52
2141165,-0.93,0.05,0.11,9.39
2141187,-0.98,-0.15,-0.25,10.24
2141209,-1.11,-0.56,-0.77,14.58
2141231,-1.35,-0.14,-0.29,13.88
2141253,-1.07,0.13,-0.12,10.82
2141275,-1.10,-0.13,-0.03,11.07
2141297,-1.04,-0.27,-0.18,10.92
2141319,-1.21,-0.27,-0.27,12.65
2141341,-1.20,-0.21,-0.43,12.95
2141363,-1.23,-0.22,-0.50,13.46
2141385,-1.22,-0.30,-0.54,13.71
2141407,-1.21,-0.33,-0.59,13.85
2141429,-1.26,-0.28,-0.65,14.44
2141451,-1.22,-0.22,-0.58,13.72
2141473,-1.25,-0.16,-0.57,13.86
2141495,-1.27,-0.16,-0.56,13.97
2141517,-1.27,-0.24,-0.54,14.02
2141539,-1.24,-0.28,-0.51,13.68
2141561,-1.13,-0.17,-0.54,12.63
2141583,-1.07,-0.08,-0.53,11.94
2141605,-1.02,-0.10,-0.49,11.35
2141627,-0.93,-0.28,-0.35,10.33
2141649,-0.92,-0.22,-0.28,9.86
2141671,-0.94,0.05,-0.33,9.94
2141693,-0.89,0.04,-0.33,9.47
2141715,-0.80,-0.16,-0.37,8.94
2141737,-0.89,-0.19,-0.24,9.40
2141759,-0.95,-0.14,-0.20,9.84
2141781,-0.95,0.02,-0.22,9.71
2141803,-0.96,-0.10,-0.17,9.85
2141825,-1.00,-0.07,-0.23,10.23
2141847,-0.98,0.10,-0.27,10.25
2141869,-1.15,0.08,0.38,12.17
2141891,-1.88,0.18,1.08,21.78
2141913,-1.03,0.13,0.10,10.48
2141935,-1.13,0.22,0.19,11.62
2141957,-0.98,-0.45,-0.23,11.04
2141979,-1.17,-0.39,-0.25,12.61
2142001,-1.22,-0.28,-0.52,13.54
2142023,-1.14,-0.16,-0.45,12.34
2142045,-1.13,-0.17,-0.31,11.85
2142067,-1.20,-0.10,-0.15,12.18
2142089,-1.11,0.17,-0.14,11.35
2142111,-1.14,0.17,-0.15,11.61
2142133,-1.10,-0.27,-0.13,11.39
2142155,-1.02,-0.43,-0.13,11.14
2142177,-1.11,-0.28,-0.16,11.55
2142199,-1.13,-0.11,-0.21,11.59
2142221,-1.13,-0.07,-0.10,11.39
2142243,-1.11,-0.16,-0.06,11.19
2142265,-1.05,-0.30,-0.08,10.94
2142287,-1.07,-0.20,-0.02,10.84
2142309,-1.02,-0.24,-0.03,10.48
2142331,-1.03,-0.27,-0.10,10.68
2142353,-1.03,-0.22,-0.09,10.54
2142375,-0.99,-0.23,-0.11,10.25
2142397,-1.01,-0.26,-0.07,10.50
2142419,-1.05,-0.25,-0.06,10.82
2142441,-1.11,-0.08,-0.13,11.17
2142463,-1.07,-0.13,-0.20,10.95
2142485,-1.05,-0.27,-0.15,10.91
2142507,-1.03,-0.34,-0.11,10.87
2142529,-1.04,-0.32,-0.25,11.15
2142551,-1.13,-0.10,-0.27,11.68
2142573,-1.10,-0.17,-0.15,11.19
2142595,-1.13,-0.04,-0.10,11.35
2142617,-1.01,-0.14,-0.06,10.23
2142639,-1.02,-0.27,-0.08,10.62
2142661,-1.08,-0.27,-0.17,11.28
2142683,-1.09,-0.17,-0.23,11.25
2142705,-1.08,-0.22,-0.30,11.39
2142727,-1.10,-0.21,-0.39,11.85
2142749,-1.14,-0.14,-0.39,12.16
2142771,-1.09,-0.20,-0.37,11.65
2142793,-1.06,-0.25,-0.34,11.40
2142815,-1.07,-0.34,-0.30,11.62
2142837,-1.21,-0.29,-0.18,12.60
2142859,-1.08,-0.14,-0.16,11.02
2142881,-1.18,-0.22,-0.17,12.07
2142903,-1.27,-0.09,-0.31,13.08
2142925,-1.26,-0.12,-0.37,13.22
2142947,-1.23,-0.09,-0.40,12.95
2142969,-1.12,-0.07,-0.40,11.88
2142991,-1.00,-0.09,-0.34,10.59
2143013,-0.95,-0.10,-0.35,10.13
2143035,-1.00,-0.02,-0.40,10.78
2143057,-0.98,-0.01,-0.40,10.58
2143079,-0.98,0.00,-0.39,10.60
2143101,-1.06,-0.01,-0.44,11.49
2143123,-1.07,-0.01,-0.54,11.95
2143145,-1.08,-0.08,-0.67,12.75
2143167,-1.10,-0.14,-0.74,13.33
2143189,-1.05,-0.15,-0.80,13.28
2143211,-1.01,-0.12,-0.83,13.08
2143233,-0.99,-0.10,-0.87,13.17
2143255,-0.91,-0.08,-0.84,12.38
2143277,-0.88,-0.11,-0.90,12.60
2143299,-0.81,-0.09,-0.89,12.02
2143321,-0.76,-0.03,-0.95,12.13
2143343,-0.75,-0.01,-0.97,12.28
2143365,-0.72,-0.02,-1.00,12.31
2143387,-0.71,-0.01,-1.00,12.28
2143409,-0.70,-0.01,-1.00,12.26
2143431,-0.70,-0.00,-1.02,12.41
2143453,-0.72,0.02,-1.02,12.45
2143475,-0.74,0.03,-1.00,12.45
2143497,-0.75,0.04,-0.98,12.36
2143519,-0.78,0.08,-1.02,12.81
2143541,-0.83,0.08,-0.98,12.90
2143563,-0.86,0.08,-0.97,13.01
2143585,-0.83,0.07,-0.94,12.58
2143607,-0.84,0.08,-0.92,12.47
2143629,-0.87,0.07,-0.89,12.40
2143651,-0.89,0.05,-0.85,12.34
2143673,-0.90,0.07,-0.84,12.29
2143695,-0.93,0.07,-0.80,12.33
2143717,-0.93,0.08,-0.78,12.18
2143739,-0.94,0.11,-0.79,12.35
2143761,-0.97,0.10,-0.76,12.40
2143783,-1.02,0.12,-0.79,12.93
