timestamps,ax,ay,az,y
749358,-1.10,0.03,-0.50,12.10
749380,-1.20,0.30,-0.63,13.94
749402,-1.06,-0.03,-0.46,11.59
749424,-1.16,-0.10,-0.54,12.85
749446,-1.19,0.04,-0.58,13.20
749468,-1.14,0.09,-0.59,12.86
749490,-1.11,-0.00,-0.53,12.31
749512,-1.09,0.03,-0.54,12.16
749534,-1.10,-0.15,-0.57,12.45
749556,-1.07,-0.14,-0.59,12.25
749578,-1.07,0.03,-0.67,12.65
749600,-1.05,-0.03,-0.67,12.41
749622,-1.05,0.03,-0.64,12.34
749644,-1.07,0.09,-0.49,11.75
749666,-1.29,-0.17,-0.43,13.68
749688,-1.22,0.07,-0.39,12.85
749710,-1.22,0.10,-0.33,12.71
749732,-1.34,0.12,-0.48,14.33
749754,-1.35,0.19,-0.40,14.17
749776,-0.90,0.22,-0.36,9.96
749798,-0.76,-0.05,-0.42,8.70
749820,-1.13,-0.14,-0.55,12.65
749842,-1.03,0.01,-0.86,13.43
749864,-1.33,0.16,-0.38,13.88
749886,-1.06,0.21,-0.31,11.18
749908,-1.06,-0.07,-0.34,11.17
749930,-1.09,-0.02,-0.58,12.34
749952,-1.14,-0.02,-0.64,13.11
749974,-1.10,-0.17,-0.59,12.62
749996,-1.06,-0.21,-0.65,12.61
750018,-1.06,-0.12,-0.75,13.08
750040,-1.05,-0.08,-0.78,13.10
750062,-1.01,0.03,-0.85,13.21
750084,-1.07,0.16,-0.89,14.01
750106,-1.04,0.18,-0.88,13.80
750128,-1.08,0.07,-0.92,14.25
750150,-1.09,-0.06,-0.89,14.12
750172,-1.01,-0.09,-0.89,13.49
750194,-1.11,0.00,-0.90,14.27
750216,-1.13,0.06,-0.85,14.11
750238,-1.13,0.11,-0.80,13.90
750260,-1.13,0.14,-0.67,13.23
750282,-1.08,0.18,-0.72,13.14
750304,-1.13,0.01,-0.53,12.46
750326,-1.07,0.01,-0.43,11.56
750348,-0.87,0.13,-0.46,9.91
750370,-0.85,0.12,-0.40,9.48
750392,-0.73,0.10,-0.63,9.68
750414,-0.91,-0.06,-0.40,9.92
750436,-0.86,0.11,-0.50,9.98
750458,-0.87,0.22,-0.44,9.97
750480,-1.07,0.09,0.02,10.77
750502,-1.72,0.03,0.82,19.01
750524,-1.39,0.30,-0.28,14.47
750546,-1.18,0.20,-0.18,12.14
750568,-1.23,-0.10,-0.46,13.16
750590,-1.08,-0.13,-0.45,11.80
750612,-1.05,0.15,-0.50,11.78
750634,-1.25,0.21,-0.39,13.24
750656,-1.19,-0.16,-0.20,12.17
750678,-1.08,-0.02,-0.19,10.98
750700,-1.13,0.22,-0.19,11.73
750722,-1.12,0.09,-0.23,11.50
750744,-1.09,-0.12,-0.21,11.22
750766,-1.08,-0.12,-0.20,11.09
750788,-1.13,-0.16,-0.17,11.57
750810,-1.08,-0.11,-0.23,11.10
750832,-1.09,-0.01,-0.23,11.18
750854,-1.08,0.00,-0.16,10.88
750876,-1.10,-0.15,-0.26,11.44
750898,-1.09,-0.09,-0.29,11.35
750920,-1.06,-0.09,-0.23,10.90
750942,-1.08,-0.09,-0.31,11.27
750964,-1.08,-0.05,-0.38,11.47
750986,-1.10,-0.07,-0.32,11.44
751008,-1.07,-0.11,-0.32,11.18
751030,-1.07,-0.17,-0.36,11.40
751052,-1.13,0.08,-0.32,11.80
751074,-1.16,-0.04,-0.28,11.95
751096,-1.07,-0.04,-0.33,11.21
751118,-1.07,-0.08,-0.24,11.00
751140,-1.05,-0.16,-0.30,11.04
751162,-1.09,-0.09,-0.37,11.52
751184,-1.09,-0.01,-0.38,11.56
751206,-1.06,-0.12,-0.37,11.30
751228,-1.06,-0.04,-0.35,11.17
751250,-1.06,-0.05,-0.37,11.29
751272,-1.09,-0.09,-0.38,11.56
751294,-1.08,-0.12,-0.37,11.47
751316,-1.08,-0.02,-0.48,11.86
751338,-1.13,0.09,-0.51,12.44
751360,-1.12,0.05,-0.46,12.13
751382,-1.12,-0.09,-0.51,12.40
751404,-1.13,-0.09,-0.50,12.37
751426,-1.09,-0.15,-0.48,11.96
751448,-1.30,-0.17,-0.49,13.95
751470,-1.22,0.14,-0.34,12.71
751492,-1.23,0.07,-0.39,12.96
751514,-1.37,0.07,-0.36,14.24
751536,-1.34,0.18,-0.23,13.70
751558,-1.22,0.09,-0.08,12.30
751580,-1.18,-0.12,0.31,12.26
751602,-0.95,-0.04,-0.30,9.95
751624,-0.96,0.08,-0.72,12.04
751646,-1.31,0.21,-0.94,16.26
751668,-1.40,0.49,-0.64,16.13
751690,-1.21,-0.01,-0.43,12.82
751712,-1.03,-0.21,-0.34,11.03
751734,-0.89,-0.14,-0.45,10.12
751756,-0.97,-0.09,-0.46,10.73
751778,-0.95,-0.06,-0.61,11.31
751800,-1.00,-0.12,-0.70,12.23
751822,-1.02,-0.12,-0.80,13.03
751844,-1.06,-0.10,-0.85,13.62
751866,-1.12,-0.03,-0.85,14.07
751888,-1.13,0.09,-0.88,14.37
751910,-1.13,0.16,-0.92,14.68
751932,-1.13,0.13,-0.82,14.06
751954,-1.18,0.01,-0.79,14.21
751976,-1.19,0.01,-0.74,14.00
751998,-1.16,0.01,-0.69,13.45
752020,-1.15,0.08,-0.61,13.10
752042,-1.16,0.07,-0.52,12.69
752064,-1.12,0.09,-0.47,12.15
752086,-1.06,0.06,-0.40,11.30
752108,-0.96,0.12,-0.33,10.25
752130,-0.86,0.18,-0.31,9.30
752152,-0.86,0.14,-0.28,9.15
752174,-0.82,0.00,-0.29,8.69
752196,-0.83,-0.13,-0.25,8.75
752218,-0.90,-0.03,-0.23,9.33
752240,-0.91,0.08,-0.22,9.36
752262,-0.95,0.02,-0.22,9.74
752284,-0.96,-0.01,-0.25,9.93
752306,-1.18,0.08,0.26,12.13
752328,-1.45,0.10,0.87,16.93
752350,-1.43,0.23,-0.06,14.51
752372,-1.07,0.41,-0.13,11.55
752394,-1.25,0.14,-0.42,13.27
752416,-1.05,-0.21,-0.46,11.61
752438,-0.91,-0.23,-0.52,10.69
752460,-1.30,-0.08,-0.35,13.46
752482,-1.26,0.08,-0.24,12.88
752504,-1.07,-0.00,-0.20,10.89
752526,-1.19,-0.12,-0.24,12.16
752548,-1.10,0.02,-0.34,11.54
752570,-1.07,0.12,-0.34,11.25
752592,-1.10,0.01,-0.26,11.28
752614,-1.12,0.05,-0.34,11.73
752636,-1.14,0.06,-0.32,11.88
752658,-1.13,-0.09,-0.32,11.80
752680,-1.10,-0.09,-0.33,11.53
752702,-1.10,-0.01,-0.32,11.44
752724,-1.11,-0.15,-0.25,11.52
752746,-1.07,-0.16,-0.23,11.05
752768,-1.08,0.07,-0.33,11.33
752790,-1.09,-0.02,-0.28,11.27
752812,-1.08,-0.15,-0.27,11.26
752834,-1.14,-0.04,-0.35,11.97
752856,-1.10,-0.11,-0.42,11.80
752878,-1.08,-0.21,-0.25,11.27
752900,-1.06,-0.22,-0.27,11.17
752922,-1.07,-0.05,-0.33,11.19
752944,-1.09,-0.10,-0.23,11.19
752966,-1.05,-0.08,-0.28,10.86
752988,-1.07,-0.05,-0.26,10.99
753010,-1.05,-0.12,-0.24,10.82
753032,-1.08,-0.13,-0.31,11.28
753054,-1.11,-0.05,-0.41,11.80
753076,-1.07,-0.05,-0.39,11.40
753098,-1.05,-0.09,-0.40,11.28
753120,-1.12,-0.02,-0.45,12.12
753142,-1.16,-0.01,-0.49,12.62
753164,-1.20,0.08,-0.45,12.84
753186,-1.13,0.01,-0.45,12.19
753208,-1.28,-0.22,-0.45,13.79
753230,-1.27,0.05,-0.33,13.18
753252,-1.18,0.09,-0.40,12.48
753274,-1.23,0.16,-0.40,13.04
753296,-1.22,0.10,-0.33,12.69
753318,-1.26,0.04,-0.35,13.07
753340,-1.17,0.15,-0.28,12.11
753362,-0.99,0.22,-0.21,10.39
753384,-1.07,0.18,-0.06,10.84
753406,-1.12,-0.03,-0.39,11.87
753428,-1.09,-0.33,-0.88,14.38
753450,-1.37,-0.13,-0.89,16.36
753472,-1.17,0.19,-0.78,14.14
753494,-1.22,-0.02,-0.62,13.71
753516,-1.12,-0.08,-0.41,11.99
753538,-1.01,-0.08,-0.42,10.98
753560,-0.92,-0.03,-0.60,11.04
753582,-0.90,-0.06,-0.61,10.91
753604,-0.92,-0.05,-0.72,11.75
753626,-0.95,0.01,-0.82,12.54
753648,-1.01,0.03,-0.80,12.86
753670,-1.11,0.23,-0.88,14.35
753692,-1.21,0.34,-0.96,15.76
753714,-1.21,0.18,-0.93,15.37
753736,-1.12,-0.10,-0.86,14.17
753758,-1.15,-0.00,-0.79,13.96
753780,-1.14,0.07,-0.80,13.92
753802,-1.05,0.04,-0.72,12.75
753824,-0.97,0.04,-0.71,12.01
753846,-0.98,0.06,-0.70,12.10
753868,-0.94,-0.04,-0.52,10.74
753890,-0.99,0.09,-0.46,10.98
753912,-1.00,0.18,-0.27,10.52
753934,-0.98,0.01,-0.24,10.07
753956,-0.89,0.11,-0.16,9.16
753978,-0.85,0.17,-0.24,8.99
754000,-0.91,0.09,-0.13,9.23
754022,-0.83,0.09,-0.13,8.44
754044,-0.84,-0.03,-0.28,8.81
754066,-0.87,0.01,-0.24,9.07
754088,-1.03,-0.05,0.12,10.40
754110,-1.86,0.16,0.66,19.84
754132,-1.21,0.40,-0.51,13.74
754154,-1.40,0.31,0.05,14.33
754176,-1.22,0.07,-0.38,12.82
754198,-1.09,-0.53,-0.68,13.93
754220,-1.26,-0.19,-0.70,14.53
754242,-1.09,0.46,-0.43,12.60
754264,-1.15,0.14,-0.15,11.65
754286,-1.09,-0.28,-0.18,11.41
754308,-1.20,-0.37,-0.26,12.85
754330,-1.09,0.08,-0.19,11.09
754352,-1.05,-0.06,-0.15,10.62
754374,-1.09,-0.07,-0.10,11.00
754396,-1.05,-0.08,-0.12,10.63
754418,-1.09,-0.08,-0.19,11.12
754440,-1.12,-0.04,-0.35,11.74
754462,-1.13,0.00,-0.29,11.63
754484,-1.11,-0.10,-0.21,11.38
754506,-1.11,-0.14,-0.36,11.72
754528,-1.13,0.02,-0.35,11.88
754550,-1.14,0.04,-0.35,11.89
754572,-1.14,-0.06,-0.40,12.05
754594,-1.16,-0.06,-0.32,12.05
754616,-1.12,-0.10,-0.17,11.37
754638,-1.03,-0.17,-0.09,10.43
754660,-1.02,-0.06,-0.10,10.25
754682,-1.05,-0.10,-0.11,10.63
754704,-1.05,-0.06,-0.11,10.55
754726,-1.15,-0.05,-0.09,11.51
754748,-1.04,-0.12,-0.11,10.55
754770,-1.08,-0.31,-0.16,11.34
754792,-1.10,-0.11,-0.19,11.26
754814,-1.09,-0.07,-0.17,11.05
754836,-1.07,-0.11,-0.20,10.95
754858,-1.04,-0.05,-0.24,10.70
754880,-1.08,-0.07,-0.27,11.14
754902,-1.08,-0.06,-0.27,11.11
754924,-1.10,-0.04,-0.28,11.30
