time,timestamps,ax,ay,az,mag
18:24:42.103,39494,-0.82,-0.81,-0.29,1.19
18:24:42.125,39508,-0.77,-0.82,-0.27,1.15
18:24:42.131,39522,-0.73,-0.80,-0.25,1.11
18:24:42.147,39536,-0.73,-0.81,-0.23,1.11
18:24:42.162,39550,-0.74,-0.79,-0.22,1.11
18:24:42.181,39564,-0.75,-0.79,-0.16,1.10
18:24:42.188,39578,-0.78,-0.82,-0.17,1.14
18:24:42.200,39592,-0.77,-1.04,-0.33,1.34
18:24:42.218,39606,-1.01,-0.93,-0.24,1.39
18:24:42.238,39620,-1.13,-0.67,-0.29,1.34
18:24:42.246,39634,-1.12,-0.52,-0.28,1.26
18:24:42.258,39648,-1.34,-0.54,-0.29,1.48
18:24:42.270,39662,-1.75,-0.41,-0.32,1.82
18:24:42.290,39676,-1.86,-0.37,-0.22,1.91
18:24:42.299,39690,-1.33,-0.55,-0.35,1.49
18:24:42.316,39704,-0.82,-0.90,-0.52,1.32
18:24:42.332,39718,-0.44,-1.39,0.08,1.46
18:24:42.344,39732,-0.46,-1.82,0.26,1.89
18:24:42.361,39746,-0.39,-2.00,0.09,2.04
18:24:42.370,39760,-0.02,-2.00,-0.22,2.02
18:24:42.385,39774,0.24,-1.65,-0.02,1.67
18:24:42.398,39788,0.06,-1.16,0.52,1.28
18:24:42.435,39802,-0.28,-0.89,0.55,1.08
18:24:42.436,39816,-0.57,-0.82,0.52,1.13
18:24:42.439,39830,-0.32,-0.86,0.54,1.07
18:24:42.452,39844,-0.17,-0.88,0.32,0.95
18:24:42.514,39858,0.04,-0.83,0.30,0.89
18:24:42.515,39872,0.18,-0.73,0.32,0.82
18:24:42.517,39886,0.20,-0.67,0.38,0.79
18:24:42.518,39900,0.15,-0.67,0.19,0.71
18:24:42.558,39914,0.21,-0.88,0.10,0.91
18:24:42.559,39928,0.25,-1.03,0.10,1.06
18:24:42.600,39942,0.31,-0.91,0.16,0.97
18:24:42.601,39956,0.09,-0.80,0.25,0.84
18:24:42.602,39970,-0.05,-0.73,0.37,0.82
18:24:42.604,39984,-0.20,-0.70,0.50,0.88
18:24:42.633,39998,-0.31,-0.66,0.58,0.93
18:24:42.634,40012,-0.38,-0.73,0.52,0.97
18:24:42.634,40026,-0.37,-0.91,0.44,1.07
18:24:42.666,40040,-0.33,-1.21,0.12,1.26
18:24:42.668,40054,-0.21,-1.31,-0.12,1.34
18:24:42.704,40068,-0.31,-1.03,-0.32,1.12
18:24:42.706,40082,-0.66,-0.64,-0.21,0.94
18:24:42.707,40096,-0.81,-0.77,-0.04,1.12
18:24:42.722,40110,-0.76,-0.96,-0.23,1.24
18:24:42.740,40124,-0.67,-0.44,-0.41,0.90
18:24:42.749,40138,-0.60,0.06,-0.48,0.77
